DATE,DEXSDUS
1999-01-04,8.0200
1999-01-05,7.9720
1999-01-06,7.9360
1999-01-07,7.9150
1999-01-08,7.9285
1999-01-11,7.8510
1999-01-12,7.8000
1999-01-13,7.8070
1999-01-14,7.8050
1999-01-15,7.8740
1999-01-18,.
1999-01-19,7.7570
1999-01-20,7.7220
1999-01-21,7.7355
1999-01-22,7.7300
1999-01-25,7.7225
1999-01-26,7.7060
1999-01-27,7.7155
1999-01-28,7.7725
1999-01-29,7.7870
1999-02-01,7.8330
1999-02-02,7.8370
1999-02-03,7.8650
1999-02-04,7.8430
1999-02-05,7.8550
1999-02-08,7.8620
1999-02-09,7.8845
1999-02-10,7.8850
1999-02-11,7.8900
1999-02-12,7.8830
1999-02-15,.
1999-02-16,7.9330
1999-02-17,7.9300
1999-02-18,7.9660
1999-02-19,8.0200
1999-02-22,8.0730
1999-02-23,8.1000
1999-02-24,8.1450
1999-02-25,8.1150
1999-02-26,8.1915
1999-03-01,8.2550
1999-03-02,8.2370
1999-03-03,8.2620
1999-03-04,8.2779
1999-03-05,8.2385
1999-03-08,8.2050
1999-03-09,8.1890
1999-03-10,8.1120
1999-03-11,8.0940
1999-03-12,8.1150
1999-03-15,8.1675
1999-03-16,8.2100
1999-03-17,8.1500
1999-03-18,8.1100
1999-03-19,8.1747
1999-03-22,8.1980
1999-03-23,8.1980
1999-03-24,8.2500
1999-03-25,8.2580
1999-03-26,8.3350
1999-03-29,8.3450
1999-03-30,8.3370
1999-03-31,8.2130
1999-04-01,8.2465
1999-04-02,8.2380
1999-04-05,8.2900
1999-04-06,8.2140
1999-04-07,8.2980
1999-04-08,8.2685
1999-04-09,8.2750
1999-04-12,8.2730
1999-04-13,8.3000
1999-04-14,8.2710
1999-04-15,8.2830
1999-04-16,8.3350
1999-04-19,8.3800
1999-04-20,8.3880
1999-04-21,8.4020
1999-04-22,8.4000
1999-04-23,8.3830
1999-04-26,8.4050
1999-04-27,8.3575
1999-04-28,8.3895
1999-04-29,8.4022
